"INDICATOR - Simple average of simple averages"
"ORIGIN - World"
"DUTY TYPE - Most favoured nation rate (MFN rate)"

,YEAR,"1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Belgium","Manufactured goods",6.08,6.08,8.52,7.02,7.12,7.07,7.01,6.56,5.61,5.73,5.12,4.71,4.52,4.59,4.76,4.52,4.25,4.24,4.23,4.02,4.01,4.01,4.2,4.2,4.18,4.18,4.17,4.17,4.12,4.13
"Belgium","Chemical products",7.54,7.53,7.64,7.64,7.79,7.63,7.63,7.49,5.88,6.52,5.57,5.24,4.85,5.59,5.34,5.33,5.2,5.23,5.22,4.41,4.39,4.33,5.19,5.16,5.14,5.13,5.14,5.16,5.16,5.13
"Belgium","Machinery and transport equipment",4.92,4.91,5.01,5.01,5.06,5.12,5.02,4.55,3.55,3.54,2.83,2.34,2.28,2.28,2.27,2.27,2.27,2.26,2.22,2.27,2.27,2.26,2.26,2.27,2.27,2.28,2.27,2.27,2.16,2.19
"Belgium","Other manufactured goods",6,5.99,10.33,7.62,7.73,7.67,7.62,7.04,6.41,6.38,5.94,5.53,5.37,5.19,5.58,5.15,4.71,4.69,4.68,4.61,4.61,4.63,4.63,4.64,4.62,4.61,4.59,4.6,4.55,4.56
"Belize","Manufactured goods, ores and metals","..","..","..","..","..","..","..","..",21.14,"..","..",17.67,"..",8.9,8.9,8.9,"..","..",8.65,8.640000000000001,8.640000000000001,8.609999999999999,8.609999999999999,8.550000000000001,8.550000000000001,8.609999999999999,8.609999999999999,8.609999999999999,8.609999999999999,8.609999999999999
"Belize","Ores and metals","..","..","..","..","..","..","..","..",19.61,"..","..",16.36,"..",4.35,4.35,4.35,"..","..",4.01,4.01,4.01,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04
"Belize","Manufactured goods","..","..","..","..","..","..","..","..",21.16,"..","..",17.69,"..",9.19,9.19,9.19,"..","..",8.960000000000001,8.960000000000001,8.960000000000001,8.92,8.91,8.85,8.85,8.91,8.91,8.91,8.91,8.91
"Belize","Chemical products","..","..","..","..","..","..","..","..",14.88,"..","..",11.36,"..",5.68,5.68,5.68,"..","..",5.66,5.66,5.66,5.66,5.67,5.64,5.64,5.64,5.64,5.64,5.64,5.64
"Belize","Machinery and transport equipment","..","..","..","..","..","..","..","..",18.8,"..","..",16.03,"..",7.49,7.49,7.49,"..","..",7.46,7.46,7.46,7.37,7.37,7.24,7.24,7.26,7.26,7.26,7.26,7.26
"Belize","Other manufactured goods","..","..","..","..","..","..","..","..",22.75,"..","..",19.16,"..",11.3,11.3,11.3,"..","..",10.91,10.9,10.9,10.9,10.89,10.84,10.84,10.96,10.96,10.96,10.96,10.96
"Benin","Manufactured goods, ores and metals","..","..","..","..","..","..","..","..","..","..","..","..","..",11.79,11.75,11.73,11.74,11.75,11.75,11.63,11.63,11.63,11.63,11.61,11.61,11.61,11.61,11.51,11.51,11.52
"Benin","Ores and metals","..","..","..","..","..","..","..","..","..","..","..","..","..",7.49,7.51,7.25,7.36,7.36,7.36,7.21,7.18,7.21,7.21,7.19,7.19,7.19,7.19,7.17,7.17,7.17
"Benin","Manufactured goods","..","..","..","..","..","..","..","..","..","..","..","..","..",12.07,12.02,12.04,12.04,12.05,12.05,11.93,11.93,11.93,11.93,11.91,11.91,11.91,11.9,11.81,11.81,11.82
